2023-05-24 12:54:06.85 Server      Setup step is FORCE copying system data file 'C:\templatedata\model_replicatedmaster.mdf' to '/var/opt/mssql/data/model_replicatedmaster.mdf'.
2023-05-24 12:54:07.05 Server      Setup step is FORCE copying system data file 'C:\templatedata\model_replicatedmaster.ldf' to '/var/opt/mssql/data/model_replicatedmaster.ldf'.
2023-05-24 12:54:07.15 Server      Setup step is FORCE copying system data file 'C:\templatedata\model_msdbdata.mdf' to '/var/opt/mssql/data/model_msdbdata.mdf'.
2023-05-24 12:54:07.26 Server      Setup step is FORCE copying system data file 'C:\templatedata\model_msdblog.ldf' to '/var/opt/mssql/data/model_msdblog.ldf'.
2023-05-24 12:54:09.06 Server      Microsoft SQL Server 2019 (RTM-CU14) (KB5007182) - 15.0.4188.2 (X64) 
	Nov  3 2021 19:19:51 
	Copyright (C) 2019 Microsoft Corporation
	Developer Edition (64-bit) on Linux (Ubuntu 20.04.3 LTS) <X64>
2023-05-24 12:54:09.10 Server      UTC adjustment: 2:00
2023-05-24 12:54:09.11 Server      (c) Microsoft Corporation.
2023-05-24 12:54:09.12 Server      All rights reserved.
2023-05-24 12:54:09.13 Server      Server process ID is 392.
2023-05-24 12:54:09.14 Server      Logging SQL Server messages in file '/var/opt/mssql/log/errorlog'.
2023-05-24 12:54:09.16 Server      Registry startup parameters: 
	 -d /var/opt/mssql/data/master.mdf
	 -l /var/opt/mssql/data/mastlog.ldf
	 -e /var/opt/mssql/log/errorlog
2023-05-24 12:54:09.20 Server      SQL Server detected 1 sockets with 4 cores per socket and 8 logical processors per socket, 8 total logical processors; using 8 logical processors based on SQL Server licensing. This is an informational message; no user action is required.
2023-05-24 12:54:09.24 Server      SQL Server is starting at normal priority base (=7). This is an informational message only. No user action is required.
2023-05-24 12:54:09.27 Server      Detected 4747 MB of RAM. This is an informational message; no user action is required.
2023-05-24 12:54:09.28 Server      Using conventional memory in the memory manager.
2023-05-24 12:54:09.30 Server      Page exclusion bitmap is enabled.
2023-05-24 12:54:09.34 Server      Buffer pool extension is not supported on Linux platform.
2023-05-24 12:54:09.36 Server      Buffer Pool: Allocating 1048576 bytes for 678286 hashPages.
2023-05-24 12:54:09.52 Server      Buffer pool extension is already disabled. No action is necessary.
2023-05-24 12:54:09.89 Server      Successfully initialized the TLS configuration. Allowed TLS protocol versions are ['1.0 1.1 1.2']. Allowed TLS ciphers are ['ECDHE-ECDSA-AES128-GCM-SHA256:ECDHE-ECDSA-AES256-GCM-SHA384:ECDHE-RSA-AES128-GCM-SHA256:ECDHE-RSA-AES256-GCM-SHA384:ECDHE-ECDSA-AES128-SHA256:ECDHE-ECDSA-AES256-SHA384:ECDHE-ECDSA-AES256-SHA:ECDHE-ECDSA-AES128-SHA:AES256-GCM-SHA384:AES128-GCM-SHA256:AES256-SHA256:AES128-SHA256:AES256-SHA:AES128-SHA:!DHE-RSA-AES256-GCM-SHA384:!DHE-RSA-AES128-GCM-SHA256:!DHE-RSA-AES256-SHA:!DHE-RSA-AES128-SHA'].
2023-05-24 12:54:10.00 Server      Query Store settings initialized with enabled = 1, 
2023-05-24 12:54:10.03 Server      The maximum number of dedicated administrator connections for this instance is '1'
2023-05-24 12:54:10.03 Server      Node configuration: node 0: CPU mask: 0x00000000000000ff:0 Active CPU mask: 0x00000000000000ff:0. This message provides a description of the NUMA configuration for this computer. This is an informational message only. No user action is required.
2023-05-24 12:54:10.10 Server      Using dynamic lock allocation.  Initial allocation of 2500 Lock blocks and 5000 Lock Owner blocks per node.  This is an informational message only.  No user action is required.
2023-05-24 12:54:10.15 Server      In-Memory OLTP initialized on lowend machine.
2023-05-24 12:54:10.20 Server      CLR version v4.0.30319 loaded.
2023-05-24 12:54:10.38 Server      [INFO] Created Extended Events session 'hkenginexesession'
2023-05-24 12:54:10.41 Server      Database Instant File Initialization: enabled. For security and performance considerations see the topic 'Database Instant File Initialization' in SQL Server Books Online. This is an informational message only. No user action is required.
ForceFlush is enabled for this instance. 
2023-05-24 12:54:10.49 Server      Total Log Writer threads: 2. This is an informational message; no user action is required.
2023-05-24 12:54:10.52 Server      clflushopt is selected for pmem flush operation.
2023-05-24 12:54:10.53 spid9s      [1]. Feature Status: PVS: 0. CTR: 0. ConcurrentPFSUpdate: 1.
2023-05-24 12:54:10.54 Server      Software Usage Metrics is disabled.
2023-05-24 12:54:10.56 spid9s      Starting up database 'master'.
2023-05-24 12:54:10.69 Server      Common language runtime (CLR) functionality initialized.
ForceFlush feature is enabled for log durability.
2023-05-24 12:54:10.76 spid9s      69 transactions rolled forward in database 'master' (1:0). This is an informational message only. No user action is required.
2023-05-24 12:54:10.82 spid9s      0 transactions rolled back in database 'master' (1:0). This is an informational message only. No user action is required.
2023-05-24 12:54:10.85 spid9s      Recovery is writing a checkpoint in database 'master' (1). This is an informational message only. No user action is required.
2023-05-24 12:54:11.09 spid9s      Resource governor reconfiguration succeeded.
2023-05-24 12:54:11.11 spid9s      SQL Server Audit is starting the audits. This is an informational message. No user action is required.
2023-05-24 12:54:11.14 spid9s      SQL Server Audit has started the audits. This is an informational message. No user action is required.
2023-05-24 12:54:11.31 spid9s      SQL Trace ID 1 was started by login "sa".
2023-05-24 12:54:11.38 spid9s      Server name is 'BCN-3XWRVT2'. This is an informational message only. No user action is required.
2023-05-24 12:54:11.42 spid30s     Always On: The availability replica manager is starting. This is an informational message only. No user action is required.
2023-05-24 12:54:11.42 spid11s     [32767]. Feature Status: PVS: 0. CTR: 0. ConcurrentPFSUpdate: 1.
2023-05-24 12:54:11.43 spid35s     [7]. Feature Status: PVS: 0. CTR: 0. ConcurrentPFSUpdate: 1.
2023-05-24 12:54:11.43 spid34s     [5]. Feature Status: PVS: 0. CTR: 0. ConcurrentPFSUpdate: 1.
2023-05-24 12:54:11.43 spid37s     [8]. Feature Status: PVS: 0. CTR: 0. ConcurrentPFSUpdate: 1.
2023-05-24 12:54:11.43 spid36s     [9]. Feature Status: PVS: 0. CTR: 0. ConcurrentPFSUpdate: 1.
2023-05-24 12:54:11.43 spid33s     [4]. Feature Status: PVS: 0. CTR: 0. ConcurrentPFSUpdate: 1.
